year,month,nino 3.4
1989,9,-0.3106218
1989,10,-0.29408
1989,11,-0.2015098
1989,12,-0.07450037
1990,1,0.1227338
1990,2,0.2002543
1990,3,0.2830684
1990,4,0.298711
1990,5,0.2657777
1990,6,0.2906997
1990,7,0.3095878
1990,8,0.3622302
1990,9,0.3460446
1990,10,0.3169062
1990,11,0.3495969
1990,12,0.4096596
1991,1,0.4512807
1991,2,0.3977606
1991,3,0.3516949
1991,4,0.3970977
1991,5,0.596965
1991,6,0.8133537
1991,7,0.9371615
1991,8,0.8632972
1991,9,0.8416978
1991,10,0.9743057
1991,11,1.368129
1991,12,1.652072
1992,1,1.816974
1992,2,1.720267
1992,3,1.594975
1992,4,1.376684
1992,5,1.110511
1992,6,0.7707399
1992,7,0.4302008
1992,8,0.1712165
1992,9,-0.0618358
1992,10,-0.131614
1992,11,-0.04765689
1992,12,0.1372727
1993,1,0.2948409
1993,2,0.3983874
1993,3,0.5937082
1993,4,0.7888171
1993,5,0.8287779
1993,6,0.6990466
1993,7,0.4695878
1993,8,0.4184701
1993,9,0.3641644
1993,10,0.3279062
1993,11,0.2291965
1993,12,0.1930991
1994,1,0.2011866
1994,2,0.2709338
1994,3,0.3750414
1994,4,0.4812571
1994,5,0.5668837
1994,6,0.5754191
1994,7,0.614254
1994,8,0.5921499
1994,9,0.7110175
1994,10,0.9429196
1994,11,1.231663
1994,12,1.346806
1995,1,1.207014
1995,2,0.9475472
1995,3,0.6796811
1995,4,0.3929498
1995,5,0.2477906
1995,6,0.1163796
1995,7,-0.03239853
1995,8,-0.26889
1995,9,-0.4807691
1995,10,-0.6302007
1995,11,-0.7171233
1995,12,-0.7732074
1996,1,-0.7731199
1996,2,-0.6798795
1996,3,-0.5159981
1996,4,-0.2956755
1996,5,-0.1741552
1996,6,-0.1552866
1996,7,-0.1248383
1996,8,-0.176236
1996,9,-0.1993285
1996,10,-0.2388269
1996,11,-0.2907763
1996,12,-0.3755538
1997,1,-0.4274529
1997,2,-0.3150395
1997,3,-0.002798622
1997,4,0.4268575
1997,5,0.9154975
1997,6,1.368713
1997,7,1.721388
1997,8,2.00311
1997,9,2.253778
1997,10,2.444893
1997,11,2.53261
1997,12,2.509899
1998,1,2.355788
1998,2,2.003255
1998,3,1.441509
1998,4,1.050457
1998,5,0.4064578
1998,6,-0.1077135
1998,7,-0.7881985
1998,8,-0.9861963
1998,9,-1.139142
1998,10,-1.114147
1998,11,-1.316404
1998,12,-1.477981
1999,1,-1.560079
1999,2,-1.249292
1999,3,-0.8739451
1999,4,-0.7264897
1999,5,-0.7644228
1999,6,-0.8469539
1999,7,-0.9129449
1999,8,-0.9489695
1999,9,-1.027515
1999,10,-1.201401
1999,11,-1.390204
1999,12,-1.637807
2000,1,-1.632733
2000,2,-1.469826
2000,3,-1.102118
2000,4,-0.8658357
2000,5,-0.6767424
2000,6,-0.5735806
2000,7,-0.3553193
2000,8,-0.3313706
2000,9,-0.3740757
2000,10,-0.5404142
2000,11,-0.6744961
2000,12,-0.7043267
2001,1,-0.6821322
2001,2,-0.4663857
2001,3,-0.3846785
2001,4,-0.2214093
2001,5,-0.1243956
2001,6,0.08034001
2001,7,0.1681882
2001,8,0.09675018
2001,9,-0.02439569
2001,10,-0.1186274
2001,11,-0.1990568
2001,12,-0.2007002
2002,1,-0.1115992
2002,2,0.08870789
2002,3,0.2657889
2002,4,0.424858
2002,5,0.6894184
2002,6,0.8199131
2002,7,0.8759875
2002,8,0.8868828
2002,9,1.055711
2002,10,1.324693
2002,11,1.491663
2002,12,1.282232
2003,1,1.051173
2003,2,0.7541866
2003,3,0.570841
2003,4,0.1104306
2003,5,-0.08906225
2003,6,-0.009646808
2003,7,0.3320012
2003,8,0.4009103
2003,9,0.5294045
2003,10,0.5330124
2003,11,0.6090495
2003,12,0.4798722
2004,1,0.3814136
2004,2,0.2413207
2004,3,0.2326151
2004,4,0.1982841
2004,5,0.2842177
2004,6,0.4247796
2004,7,0.6744013
2004,8,0.8391901
2004,9,0.8804576
2004,10,0.8720922
2004,11,0.8629959
2004,12,0.8287787
2005,1,0.6202266
2005,2,0.4733475
2005,3,0.3432422
2005,4,0.4362712
2005,5,0.4694444
2005,6,0.3304593
2005,7,0.202268
2005,8,0.03102997
2005,9,0.02265753
2005,10,-0.1874141
2005,11,-0.4331766
2005,12,-0.7468337
2006,1,-0.7540792
2006,2,-0.6720656
2006,3,-0.3698243
2006,4,-0.1558224
2006,5,0.1132177
2006,6,0.2059928
2006,7,0.3160679
2006,8,0.4218573
2006,9,0.6786181
2006,10,0.8805061
2006,11,1.141943
2006,12,1.085966
