WMO ID,DATA TIMESTAMP,RECEIVED TIMESTAMP,CLOUD LOW TYPE CL,CLOUD BASE M H,CLOUD PEAK M,CLOUD ELEVATION ANGLE EC,CLOUD LOW MED AMT OKTAS,CLOUD MED TYPE CM,CLOUD HIGH TYPE CH,CLOUD MED DIR DM,CLOUD MED HEIGHT M,CLOUD HIGH DIR DH,CLOUD HIGH HEIGHT M,CLOUD COVER OKTAS M,CLOUD LAYER 1 TYPE C,CLOUD LAYER 2 TYPE C,CLOUD LAYER 1 HEIGHT M HSHS,CLOUD LAYER 2 HEIGHT M HSHS,CLOUD LAYER 1 AMT OKTAS NS,CLOUD LAYER 2 AMT OKTAS NS,EVAPORATION 24HOURS MM EEE,EVAPORATION EQ INDICATOR IE,LAND COND,LAND NOTE,PAST WEATHER W1,PAST WEATHER W2,PRESENT WEATHER WW,PRESSURE TEND 3H MB PPP,PRESSURE READING MB,PRESSURE TEMP C,RAINFALL 24H RRRR,RAINFALL 6H RRR,RAINFALL INDICATOR IR,RAINFALL LAST MM,SOLAR RAD 24H JCM2 F24,SUNSHINE H SSS,TEMP DEWPOINT C TDTDTD,TEMP DRYBULB C TTTTTT,TEMP MAX C TXTXTX,TEMP MIN C TNTNTN,TEMP WETBULB C,VISIBILITY VV,WEATHER INDICATOR IX,WIND DIR DEG DD,WIND INDICATOR IW,WIND SPEED FF,CLOUD DIRECTION ANGLE DA,CLOUD MED COVER OKTAS,CLOUD HIGH COVER OKTAS,RELATIVE HUMIDITY PC,PRESSURE QFF MB DERIVED,PRESSURE QFE MB DERIVED,PRESSURE TEND 24H MB PPP,ENCODED SYNOP,ENTRY USER,OBSERVER NAME
99999,2023-01-01 10:00:00.0 +0:00,2023-01-01 17:03:55.505199 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,7,8,3,390,4500,2,5,,,0,,2,2,2,,,,,,4,,,,23.1,27.1,,,24.2,10,2,280,4,3,0,5,6,79,1007.8,998.3,,"SIID65 WAJJ 011000
AAXX 01104 
97690 42460 72803 10271 20231 39983 40078 82232
  333 56000 57800 82813 85365 86080 808//=",opr99999,
99999,2023-01-01 11:00:00.0 +0:00,2023-01-01 18:03:03.259792 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,7,8,3,390,4500,2,5,,,0,,2,2,2,,,,,,4,,,,23.4,26.8,,,24.3,10,2,70,4,1,0,5,6,81,1008.6,999.1,,"SIID65 WAJJ 011100
AAXX 01114 
97690 42460 70701 10268 20234 39991 40086 82232
  333 56000 57800 82813 85365 86080 808//=",opr99999,
99999,2023-01-01 12:00:00.0 +0:00,2023-01-01 19:02:47.791195 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,2,2,1,1.9,,,,0,3,0,,,22.7,26.2,31.4,,23.7,10,2,250,4,1,0,3,3,81,1008.9,999.4,-0.8,"SMID55 WAJJ 011200
AAXX 01124 
97690 32460 52501 10262 20227 39994 40089 51019 82232
  333 10314 56000 57800 59008 82813 83365 808//=",opr99999,
99999,2023-01-01 13:00:00.0 +0:00,2023-01-01 21:03:01.942675 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,,,,,,4,,,,22.7,25.9,,,23.6,10,2,300,4,4,0,3,3,83,1009.1,999.6,,"SIID65 WAJJ 011300
AAXX 01134 
97690 42460 53004 10259 20227 39996 40091 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 14:00:00.0 +0:00,2023-01-01 21:05:07.388664 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,,,,,,4,,,,22.4,25.2,,,23.2,10,2,170,4,2,0,3,3,85,1008.8,999.3,,"SIID65 WAJJ 011400
AAXX 01144 
97690 42460 51702 10252 20224 39993 40088 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 15:00:00.0 +0:00,2023-01-01 22:03:22.16628 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,-0.6,,,,,3,0,,,22.4,25.1,,,23.2,10,2,80,4,1,0,3,3,85,1008.3,998.8,,"SIID65 WAJJ 011500
AAXX 01154 
97690 32460 50801 10251 20224 39988 40083 58006 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 16:00:00.0 +0:00,2023-01-01 23:02:47.428111 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,,,,,,4,,,,21.9,24.7,,,22.7,10,2,0,4,0,0,3,3,84,1007.9,998.4,,"SIID65 WAJJ 011600
AAXX 01164 
97690 42460 50000 10247 20219 39984 40079 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 17:00:00.0 +0:00,2023-01-02 01:03:19.108547 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,,,,,,4,,,,21.4,24.4,,,22.3,10,2,290,4,1,0,3,3,83,1007,997.5,,"SIID65 WAJJ 011700
AAXX 01174 
97690 42460 52901 10244 20214 39975 40070 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 18:00:00.0 +0:00,2023-01-02 01:05:27.41834 Asia/Jakarta,2,390,,0,2,3,2,0,4500,0,9000,5,8,3,390,4500,2,3,,,0,,1,1,2,-1.3,,,,0,3,0,,,21.2,24.2,,,22.1,10,2,240,4,2,0,3,3,83,1007,997.5,,"SMID55 WAJJ 011800
AAXX 01184 
97690 32460 52402 10242 20212 39975 40070 56013 82232
  333 56000 57800 82813 83365 808//=",opr99999,
99999,2023-01-01 19:00:00.0 +0:00,2023-01-02 02:02:59.100104 Asia/Jakarta,2,300,,0,2,3,2,0,4500,0,9000,5,8,3,300,4500,2,3,,,0,,1,1,2,,,,,,4,,,,21.7,24.1,,,22.4,10,2,0,4,0,0,3,3,86,1006.9,997.4,,"SIID65 WAJJ 011900
AAXX 01194 
97690 42460 50000 10241 20217 39974 40069 82232
  333 56000 57800 82810 83365 808//=",opr99999,
